Cylinders,Transmission,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
6,AS7,11.6,8.1,10.0,28,230
6,AS7,11.9,8.5,10.4,27,239
6,AS7,12.1,8.6,10.5,27,242
6,AS7,12.0,8.5,10.4,27,239
6,AS7,11.9,8.2,10.2,28,235
6,AS7,9.6,7.9,8.8,32,202
8,AS7,13.6,9.1,11.6,24,267
8,AS7,13.7,9.3,11.7,24,269
8,AS7,13.4,8.9,11.4,25,262
8,AS7,15.0,10.3,12.9,22,297
8,AS7,15.5,11.0,13.5,21,310
8,AS7,15.0,10.3,12.9,22,297
8,AS7,15.5,11.0,13.5,21,310
8,AS7,20.0,15.9,18.2,16,419
8,AS7,19.4,15.7,17.7,16,407
8,AS7,17.1,12.8,15.2,19,350
8,AS7,17.6,13.1,15.6,18,359
8,AS7,17.7,13.4,15.8,18,363
6,AS7,12.6,9.6,11.3,25,260
6,AS7,13.4,10.5,12.1,23,278
8,AS7,16.2,11.8,14.2,20,327
8,AS7,17.2,13.5,15.5,18,356
8,AS7,14.3,9.5,12.1,23,278
8,AS7,14.2,9.4,12.0,24,276
8,AS7,15.6,10.3,13.2,21,304
8,AS7,13.4,9.6,11.7,24,269
8,AS7,14.8,10.2,12.7,22,292
8,AS7,16.7,11.2,14.2,20,327
4,AS7,10.3,7.2,8.9,32,205
4,M6,10.4,7.3,9.0,31,207
6,AS7,11.1,8.1,9.8,29,225
8,AS7,12.3,8.7,10.7,26,246
8,AS7,18.7,13.9,16.5,17,380
8,AS7,18.2,12.6,15.7,18,361
8,AS7,18.2,12.6,15.7,18,361
4,A6,8.7,6.6,7.8,36,179
4,M6,8.6,6.8,7.8,36,179
4,A6,8.7,6.6,7.8,36,179
4,M6,8.6,6.8,7.8,36,179
4,A6,9.4,7.9,8.7,32,200
4,M6,8.6,6.8,7.8,36,179
4,A6,8.5,6.6,7.6,37,175
4,M6,8.0,6.4,7.3,39,168
4,A6,9.4,7.9,8.7,32,200
4,M6,8.6,6.8,7.8,36,179
4,A6,8.7,6.6,7.8,36,179
4,M6,8.6,6.8,7.8,36,179
4,A6,9.3,7.0,8.3,34,191
4,M6,9.1,6.7,8.0,35,184
4,A6,9.3,7.0,8.3,34,191
4,M6,9.1,6.7,8.0,35,184
4,A6,10.0,7.8,9.0,31,207
4,M6,9.3,7.5,8.5,33,196
4,A6,9.3,7.0,8.3,34,191
4,M6,9.1,6.7,8.0,35,184
4,A6,10.0,7.8,9.0,31,207
4,M6,9.3,7.5,8.5,33,196
4,A6,9.3,7.0,8.3,34,191
4,M6,9.1,6.7,8.0,35,184
4,A6,9.3,7.0,8.3,34,191
4,M6,9.1,6.7,8.0,35,184
4,A6,9.3,7.0,8.3,34,191
4,M6,9.1,6.7,8.0,35,184
4,A6,10.0,7.8,9.0,31,207
4,M6,9.3,7.5,8.5,33,196
4,A6,9.3,7.0,8.3,34,191
4,M6,9.1,6.7,8.0,35,184
4,A6,10.0,7.8,9.0,31,207
4,M6,9.3,7.5,8.5,33,196
4,A6,9.3,7.0,8.3,34,191
4,M6,9.1,6.7,8.0,35,184
4,AV6,9.2,7.0,8.2,34,189
4,M5,9.6,6.8,8.3,34,191
4,AV6,10.5,8.2,9.5,30,218
4,AM6,14.2,10.5,12.5,23,288
4,M5,14.0,10.3,12.3,23,283
4,AM6,13.4,9.4,11.6,24,267
4,AV6,9.6,7.3,8.6,33,198
4,M5,9.8,7.1,8.6,33,198
3,AV,6.4,5.4,6.0,47,138
3,M5,7.0,5.6,6.4,44,147
4,AV6,9.5,7.5,8.6,33,198
4,AV6,9.9,8.1,9.1,31,209
6,AS6,11.5,8.5,10.2,28,235
4,AV6,9.6,7.6,8.7,32,200
4,M5,9.9,7.5,8.8,32,202
4,AV6,9.8,8.0,9.0,31,207
6,AS7,12.6,9.1,11.0,26,253
6,M6,13.3,9.3,11.5,25,264
6,AS7,13.0,9.5,11.4,25,262
6,M6,13.5,9.6,11.7,24,269
4,AV,8.7,6.2,7.6,37,175
6,AV,10.8,7.4,9.3,30,214
8,A5,19.1,13.4,16.5,17,380
4,A5,13.7,10.6,12.3,23,283
4,M5,12.2,10.2,11.3,25,260
6,A5,14.7,10.2,12.7,22,292
6,A5,15.7,11.2,13.7,21,315
6,M6,14.8,11.0,13.1,22,301
6,AM6,14.5,10.9,12.9,22,297
4,AV,8.7,7.3,8.1,35,186
4,M6,9.5,7.6,8.6,33,198
4,AV,9.3,7.9,8.7,32,200
6,AV,12.3,9.1,10.9,26,251
6,AV,13.2,10.1,11.8,24,271
4,AV,10.0,8.5,9.3,30,214
6,AV,12.0,8.9,10.6,27,244
6,AV,12.3,9.3,11.0,26,253
4,AV,9.1,8.5,8.8,32,202
6,AV,12.5,9.5,11.1,25,255
4,AV,9.2,7.2,8.3,34,191
4,AV,9.5,7.4,8.6,33,198
4,AV,7.8,6.0,7.0,40,161
4,M6,8.7,6.6,7.8,36,179
8,A5,17.9,12.8,15.6,18,359
8,A5,19.7,14.3,17.3,16,398
4,AV,7.2,5.8,6.6,43,152
4,M5,8.6,6.5,7.7,37,177
6,A5,16.1,11.9,14.2,20,327
6,M6,15.2,11.9,13.7,21,315
6,AM7,11.6,8.3,10.1,28,232
6,M7,12.5,8.6,10.7,26,246
6,AM7,11.8,8.5,10.3,27,237
6,M7,12.4,8.6,10.7,26,246
6,AM7,12.0,8.7,10.5,27,242
6,M7,12.6,9.0,11.0,26,253
6,AM7,12.3,8.9,10.8,26,248
6,M7,12.8,8.9,11.0,26,253
6,AM7,12.7,9.0,11.0,26,253
6,M7,12.9,9.1,11.2,25,258
6,AM7,11.6,8.3,10.1,28,232
6,M7,12.4,8.6,10.7,26,246
6,AM7,12.1,8.7,10.6,27,244
6,M7,12.6,8.6,10.8,26,248
6,AM7,12.4,8.7,10.7,26,246
6,M7,12.6,8.8,10.9,26,251
6,AM7,16.0,11.5,14.0,20,322
6,AM7,13.7,9.6,11.9,24,274
6,AM7,13.7,9.6,11.9,24,274
6,AM7,13.7,9.6,11.9,24,274
6,AM7,13.7,9.6,11.9,24,274
6,AM7,10.7,7.4,9.2,31,212
6,M6,11.5,7.9,9.9,29,228
6,AM7,11.3,7.9,9.8,29,225
6,M6,11.9,8.6,10.4,27,239
6,A8,14.1,10.2,12.4,23,290
6,M6,15.8,10.9,13.6,21,313
8,A8,16.7,11.5,14.4,20,338
8,A8,15.5,10.7,13.2,21,310
6,A8,11.8,9.9,10.9,26,251
8,A8,16.3,11.0,13.9,20,326
8,A8,18.0,11.9,15.2,19,358
6,AM7,10.7,7.4,9.2,31,212
6,M6,11.5,7.9,9.9,29,228
6,AM7,11.3,7.9,9.8,29,225
6,M6,11.9,8.6,10.4,27,239
6,AM7,12.9,8.4,10.9,26,251
6,AM7,13.1,8.7,11.1,25,255
6,AM7,13.4,8.8,11.3,25,260
6,AM7,13.7,8.9,11.5,25,264
8,AM7,15.1,9.7,12.7,22,292
6,AM7,13.4,8.8,11.3,25,260
8,AM7,15.3,9.7,12.8,22,294
8,AM7,15.4,9.8,12.9,22,297
8,A6,17.1,12.0,14.8,19,340
8,A8,15.8,10.9,13.6,21,313
8,A6,17.6,12.7,15.4,18,354
8,A8,16.3,11.5,14.1,20,324
6,A8,14.6,10.1,12.6,22,290
6,A8,13.9,9.5,11.9,24,274
6,A8,12.9,9.3,11.3,25,260
6,A6,13.3,9.1,11.4,25,262
12,A8,19.1,12.3,16.0,18,368
12,A8,19.1,12.3,16.0,18,368
12,A8,20.7,12.8,17.1,17,393
12,A8,20.7,12.8,17.1,17,393
12,A8,20.7,12.7,17.1,17,393
12,A8,20.7,12.7,17.1,17,393
12,A8,18.7,11.8,15.6,18,359
4,AS6,9.6,7.0,8.4,34,193
4,M6,10.9,7.8,9.5,30,218
4,AV,6.6,5.7,6.2,46,143
4,AS6,10.2,7.5,9.0,31,207
4,M6,10.2,7.6,9.0,31,207
4,AS4,10.9,8.6,9.9,29,228
4,M5,10.9,8.6,9.9,29,228
4,A4,8.8,7.1,8.0,35,184
4,M5,8.6,7.1,7.9,36,182
3,AM5,6.9,5.7,6.4,44,147
3,AM5,6.9,5.7,6.4,44,147
10,M6,20.0,13.0,16.9,17,389
10,M6,20.0,13.0,16.9,17,389
4,AS6,9.6,7.1,8.5,33,196
4,M6,11.0,7.9,9.6,29,221
4,AV,10.2,8.6,9.5,30,218
4,AV,9.6,7.4,8.6,33,198
4,M6,10.9,8.3,9.7,29,223
4,AV,8.7,6.6,7.8,36,179
4,M5,9.6,7.1,8.5,33,196
4,M5,12.6,9.5,11.2,25,258
4,M6,14.2,10.4,12.5,23,288
4,AV,8.7,6.6,7.8,36,179
4,M5,9.6,7.1,8.5,33,196
4,M5,12.6,9.5,11.2,25,258
4,M6,14.2,10.4,12.5,23,288
4,AV,9.7,7.3,8.6,33,198
4,M6,11.3,8.2,9.9,29,228
6,AS5,13.3,9.5,11.6,24,267
4,AV,9.9,7.8,9.0,31,207
4,M6,10.8,8.5,9.8,29,225
6,AS5,13.4,9.7,11.7,24,269
6,AS5,14.7,11.1,13.1,22,301
4,AV,9.5,7.2,8.5,33,196
4,M5,10.2,8.0,9.2,31,212
4,AV,8.1,7.2,7.7,37,177
6,AS5,14.3,11.1,12.9,22,297
6,AS5,14.3,11.1,12.9,22,297
6,AS6,11.3,7.6,9.6,29,221
4,AS6,9.5,6.6,8.2,34,189
6,AS6,11.1,7.8,9.6,29,221
4,AV,5.5,5.9,5.7,50,131
4,AV,5.8,6.2,6.0,47,138
4,A4,8.6,6.5,7.7,37,177
4,AV7,8.1,6.3,7.3,39,168
4,AV,8.0,5.9,7.1,40,163
4,M6,8.3,6.3,7.4,38,170
4,AV,7.7,5.6,6.8,42,156
4,AV,7.8,5.9,6.9,41,159
4,A4,9.4,7.5,8.5,33,196
4,M5,8.9,7.3,8.2,34,189
6,A5,14.3,11.2,12.9,22,297
6,M6,15.4,12.1,13.9,20,320
4,AS6,11.7,8.6,10.3,27,237
6,AS6,12.6,9.4,11.2,25,258
6,AS6,13.0,9.7,11.5,25,264
6,AV6,8.0,8.6,8.3,34,191
6,AV6,7.9,8.6,8.2,34,189
4,AV,4.7,4.9,4.8,59,110
4,AV,4.6,4.9,4.7,60,108
4,AV,5.3,5.8,5.5,51,126
4,AS6,10.0,7.6,8.9,32,205
4,AS6,10.4,8.1,9.4,30,216
4,AS6,10.6,8.2,9.5,30,218
8,AS6,19.0,13.9,16.7,17,384
6,AS6,12.9,9.4,11.3,25,260
6,AS6,14.2,10.3,12.4,23,285
4,A4,12.2,9.3,10.9,26,251
4,M5,11.3,8.9,10.2,28,235
6,M6,14.5,11.3,13.1,22,301
4,A4,13.1,10.5,11.9,24,274
4,M5,12.8,10.6,11.8,24,271
6,A5,14.7,11.5,13.3,21,306
6,M6,15.3,12.3,14.0,20,322
6,AS5,14.8,11.8,13.5,21,310
8,AS6,15.9,12.3,14.3,20,329
8,AS6,17.6,12.9,15.5,18,356
8,AS6,16.9,12.8,15.1,19,347
8,AS6,18.1,13.9,16.2,17,373
4,AS6,11.4,8.2,10.0,28,230
6,AS6,12.6,9.1,11.0,26,253
4,AS6,11.6,8.5,10.2,28,235
6,AS6,12.9,9.4,11.3,25,260
4,A4,7.9,6.6,7.3,39,168
4,M5,7.8,6.3,7.1,40,163
4,A6,9.5,7.2,8.5,33,196
4,M5,9.9,7.2,8.7,32,200
4,A6,10.3,7.7,9.1,31,209
4,M6,10.8,7.6,9.4,30,216
5,A6,10.9,8.4,9.8,29,225
5,M5,11.2,7.7,9.6,29,221
4,A6,9.8,7.3,8.7,32,200
4,A6,10.3,8.1,9.3,30,214
4,M6,10.8,7.6,9.4,30,216
5,A6,11.2,8.7,10.1,28,232
4,A6,11.1,7.9,9.7,29,223
4,M6,11.6,7.7,9.8,29,225
6,A6,14.3,9.8,12.3,23,283
4,A6,10.9,8.0,9.6,29,221
5,A6,11.0,7.7,9.5,30,218
5,M5,11.2,7.3,9.4,30,216
4,A6,9.5,6.7,8.2,34,189
4,M5,9.4,6.7,8.2,34,189
4,A6,10.6,8.0,9.4,30,216
4,M5,10.4,7.2,9.0,31,207
4,A6,10.2,7.5,9.0,31,207
4,M6,10.6,7.4,9.2,31,212
4,AM7,5.6,5.2,5.4,52,124
4,A6,9.9,6.9,8.6,33,198
4,M5,10.0,6.9,8.6,33,198
5,A6,11.0,8.0,9.7,29,223
5,M5,11.4,7.8,9.8,29,225
6,A6,12.4,8.8,10.8,26,248
6,A6,14.2,9.5,12.1,23,278
4,A6,11.7,9.5,10.7,26,246
4,M6,13.6,9.2,11.6,24,267
4,A6,11.7,9.4,10.7,26,246
6,AS8,14.4,10.4,12.6,22,296
5,AS6,11.3,7.8,9.7,29,223
5,AS6,11.6,8.3,10.1,28,232
6,AS6,13.2,9.5,11.5,25,264
6,AS6,11.9,8.1,10.2,28,235
6,AS6,13.2,9.5,11.5,25,264
6,AS6,13.0,8.9,11.2,25,258
6,AS6,13.4,9.8,11.8,24,271
6,AS6,13.2,9.5,11.5,25,264
6,AS6,13.4,9.8,11.8,24,271
6,AS6,12.9,9.3,11.3,25,260
6,AS6,14.9,10.2,12.8,22,294
4,AS5,9.7,6.7,8.3,34,191
4,M6,10.8,7.4,9.3,30,214
4,AV7,6.0,6.1,6.1,46,140
6,AS6,12.7,9.1,11.1,25,255
6,AS6,12.1,8.7,10.6,27,244
6,AS6,11.9,7.7,10.0,28,230
6,AM7,8.0,7.5,7.7,37,177
4,AM8,9.6,6.6,8.3,34,191
6,AS9,11.2,6.9,9.2,31,212
6,AS9,11.2,7.5,9.6,29,221
4,AM6,9.7,6.9,8.4,34,193
12,A6,18.0,12.6,15.6,18,359
12,A8,16.8,10.9,14.2,20,327
8,AM7,17.4,11.3,14.7,19,338
8,M6,18.1,12.3,15.5,18,356
8,AM7,17.4,11.3,14.7,19,338
8,M6,18.1,12.3,15.5,18,356
12,AM7,19.5,12.8,16.5,17,379
8,AM7,17.4,11.3,14.7,19,338
8,M6,18.1,12.3,15.5,18,356
12,A8,17.6,11.4,14.8,19,340
4,AM6,10.0,7.1,8.7,32,200
4,AM6,9.8,7.2,8.6,33,198
4,AM6,10.1,7.5,8.9,32,205
4,AV8,9.9,7.6,8.9,32,205
4,AS8,11.0,7.8,9.6,29,221
4,M6,10.6,7.3,9.1,31,209
4,AS8,11.2,8.4,9.9,28,228
4,AS8,11.0,7.8,9.6,29,221
4,M6,10.6,7.3,9.1,31,209
4,AS8,11.3,8.0,9.8,29,225
4,AS8,12.0,8.1,10.3,27,237
6,AS8,12.8,8.6,10.9,26,251
6,AS8,13.1,8.5,11.0,26,253
6,AS8,12.6,8.0,10.5,27,242
8,AS8,12.9,8.0,10.7,26,246
6,AS8,12.6,8.0,10.5,27,242
8,AS8,13.2,8.3,11.0,26,258
12,AS8,17.8,10.8,14.6,19,344
4,AS6,12.0,8.2,10.3,27,237
4,AS6,11.9,8.4,10.3,27,237
4,AS8,12.0,8.5,10.4,27,239
6,AS8,13.2,9.2,11.4,25,262
4,AS8,9.8,7.9,8.9,32,205
6,AS8,15.2,11.0,13.3,21,306
8,AM7,17.3,10.4,14.2,20,327
8,M6,20.5,11.7,16.6,17,382
10,AM7,18.2,10.6,14.8,19,347
10,M6,19.9,12.0,16.4,17,377
8,AM7,17.3,10.4,14.2,20,327
8,M6,20.5,11.7,16.6,17,382
10,AM7,18.2,10.6,14.8,19,347
10,M6,19.9,12.0,16.4,17,377
8,AM7,14.9,10.1,12.8,22,294
8,AM7,14.8,10.6,12.9,22,297
8,AS8,16.6,9.4,13.3,21,313
4,AM6,10.1,7.7,9.0,31,207
6,AM7,13.0,8.5,11.0,26,253
6,M6,13.8,9.0,11.7,24,269
6,AM7,13.0,8.5,11.0,26,253
6,M6,13.8,9.0,11.7,24,269
6,AM7,13.3,9.1,11.4,25,262
8,AM7,14.0,8.7,11.7,24,269
8,AM7,14.0,8.7,11.7,24,269
8,AS8,14.6,8.8,11.9,24,281
6,AS8,14.1,9.9,12.2,23,281
4,AM6,10.4,7.6,9.1,31,209
4,AM6,10.4,7.7,9.2,31,212
4,AM6,11.7,8.4,10.2,28,235
4,AM6,11.7,8.5,10.2,28,235
8,AS8,16.1,9.4,13.1,22,307
12,AS8,18.9,11.2,15.4,18,354
8,AS8,17.7,10.3,14.4,20,337
12,AS8,19.6,11.7,16.0,18,368
8,AS8,17.6,10.1,14.2,20,327
8,AS8,17.7,10.0,14.2,20,334
12,AS8,20.3,11.9,16.5,17,388
8,AS8,22.3,13.3,18.2,16,419
4,AS8,10.4,7.1,8.9,32,205
4,AS8,10.0,6.5,8.4,34,193
4,M6,10.7,6.9,9.0,31,207
4,AS8,10.6,7.2,9.1,31,209
4,AS8,10.3,6.7,8.7,32,200
4,AS8,10.0,6.5,8.4,34,193
4,M6,10.7,6.9,9.0,31,207
4,AS8,10.3,6.7,8.7,32,200
4,AS8,10.0,6.5,8.4,34,193
4,M6,10.7,6.9,9.0,31,207
4,AS8,10.6,7.2,9.1,31,209
4,AS8,10.6,7.2,9.1,31,209
4,AS8,10.6,7.2,9.1,31,209
6,AS8,11.4,7.4,9.6,29,221
6,M6,11.5,7.8,9.8,29,225
6,AS8,11.9,7.8,10.0,28,230
6,M6,12.0,8.3,10.3,27,237
6,AS8,11.9,7.8,10.0,28,230
4,AS8,10.4,7.1,8.9,32,205
4,AS8,10.0,6.5,8.4,34,193
4,M6,10.7,6.9,9.0,31,207
4,AS8,10.4,7.1,8.9,32,205
4,M6,10.9,6.8,9.0,31,207
4,AS8,11.2,7.5,9.6,29,221
4,AS8,10.6,7.2,9.1,31,209
4,AS8,10.6,7.2,9.1,31,209
6,AS8,11.8,7.6,9.9,29,228
6,AS8,11.4,7.4,9.6,29,221
6,M6,11.5,7.8,9.8,29,225
6,AS8,11.4,7.4,9.6,29,221
6,AS8,12.1,8.1,10.3,27,237
6,AS8,11.9,7.8,10.0,28,230
6,M6,12.0,8.3,10.3,27,237
6,AS8,11.9,7.8,10.0,28,230
4,AS8,10.4,7.1,8.9,32,205
4,AS8,10.6,7.2,9.1,31,209
6,AS8,12.1,8.1,10.3,27,237
6,AS8,12.8,8.9,11.0,26,253
8,AS8,14.4,9.7,12.3,23,283
8,AS8,15.2,9.8,12.8,22,294
6,AS8,12.1,8.1,10.3,27,237
6,AS8,12.1,8.1,10.3,27,237
8,AS8,15.2,9.8,12.8,22,294
8,AS8,14.4,9.7,12.3,23,283
8,AS8,15.2,9.8,12.8,22,294
6,AS8,12.1,8.1,10.3,27,237
8,AS8,15.2,9.8,12.8,22,294
8,AS8,15.2,9.8,12.8,22,294
12,AS8,18.7,11.6,15.5,18,356
6,AS8,9.7,7.5,8.7,32,200
6,AS8,10.6,7.9,9.4,30,216
6,AS8,10.6,7.7,9.3,30,214
8,AS8,15.2,9.8,12.8,22,294
8,AS8,15.2,9.8,12.8,22,294
8,AS8,15.2,9.8,12.8,22,294
6,AS8,11.8,8.1,10.2,28,235
6,M6,12.3,9.0,10.8,26,248
6,AS8,11.8,8.1,10.2,28,235
6,M6,11.9,8.5,10.4,27,239
6,AS8,11.9,7.8,10.0,28,230
6,AM7,14.2,9.6,12.1,23,278
6,M6,13.7,9.0,11.6,24,267
6,AM7,14.1,9.7,12.1,23,278
6,M6,14.1,9.0,11.8,24,271
6,AM7,14.1,9.7,12.1,23,278
6,M6,13.7,9.0,11.6,24,267
8,AM7,17.3,11.5,14.7,19,338
8,M6,16.1,10.8,13.7,21,315
8,AM7,17.3,11.5,14.7,19,338
8,M6,16.1,10.8,13.7,21,315
8,AM7,17.3,11.5,14.7,19,338
8,M6,16.1,10.8,13.7,21,315
8,AM7,17.3,11.5,14.7,19,338
8,M6,16.1,10.8,13.7,21,315
4,AS8,10.6,7.2,9.1,31,209
6,AS8,13.2,8.9,11.2,25,258
4,AS8,11.1,8.4,9.9,29,228
6,AS8,12.7,8.8,10.9,26,251
4,AS8,11.7,8.4,10.2,28,235
6,AS8,12.7,8.8,10.9,26,251
8,AS8,16.6,12.1,14.6,19,336
6,AS8,13.0,8.9,11.1,25,255
8,AS8,16.1,10.9,13.8,20,317
8,AS8,16.6,12.1,14.6,19,336
6,AS8,13.0,8.9,11.1,25,255
8,AS8,16.1,10.9,13.8,20,317
4,AS8,10.7,7.1,9.1,31,209
4,M6,10.7,6.9,9.0,31,207
6,AM7,13.7,10.0,12.1,23,278
6,M6,12.7,9.0,11.0,26,253
6,AM7,13.7,10.0,12.1,23,278
6,A6,14.2,9.9,12.3,23,283
6,A6,14.6,10.2,12.6,22,290
4,AS6,9.5,7.2,8.5,33,196
4,AS6,10.2,8.0,9.2,31,212
6,AS6,13.7,8.6,11.4,25,262
6,AS6,13.9,9.1,11.7,24,269
4,AS6,9.6,6.5,8.2,34,189
4,AS6,11.4,7.9,9.8,29,225
4,M6,11.6,7.6,9.8,29,225
4,AS6,12.4,8.7,10.7,26,246
4,AS6,9.6,6.5,8.2,34,189
4,AS6,11.4,7.9,9.8,29,225
4,M6,11.6,7.6,9.8,29,225
4,AS6,11.1,7.4,9.4,30,216
4,AS6,11.1,7.9,9.7,29,223
4,M6,12.2,7.9,10.3,27,237
4,AS6,11.1,7.2,9.3,30,214
6,AS6,12.8,8.4,10.8,26,248
4,AS6,11.5,8.5,10.2,28,235
6,AS6,12.8,8.9,11.0,26,253
4,AS6,11.5,7.9,9.9,29,228
6,AS8,12.8,8.2,10.7,26,246
4,AS6,12.3,8.5,10.6,27,244
6,AS6,12.8,8.9,11.0,26,253
6,AS8,15.1,9.9,12.7,22,292
8,A6,16.2,11.4,14.0,20,322
8,A8,15.9,11.1,13.8,20,317
8,A6,16.8,11.7,14.5,19,334
8,A8,16.4,11.7,14.3,20,329
6,AS6,14.2,9.8,12.3,23,283
6,AS6,14.8,10.4,12.8,22,294
6,AS6,13.6,8.6,11.3,25,260
6,AS6,13.7,8.9,11.6,24,267
6,AS6,14.8,9.9,12.6,22,290
6,AS6,13.3,8.8,11.3,25,260
6,M6,14.0,8.4,11.5,25,265
8,AS6,15.3,9.8,12.8,22,294
8,M6,15.0,9.9,12.7,22,292
6,AS6,12.6,7.9,10.5,27,242
8,M6,18.1,12.3,15.5,18,357
8,AS6,19.9,13.0,16.8,17,386
8,M6,16.6,12.4,14.7,19,338
4,AV,9.7,9.0,9.4,30,216
4,A6,11.9,8.8,10.5,27,242
4,M6,12.2,9.1,10.8,26,248
6,A6,13.0,9.2,11.3,25,260
4,A6,12.7,9.5,11.3,25,260
6,A6,13.5,9.8,11.8,24,271
8,AS8,14.6,8.1,11.7,24,269
8,M7,13.7,8.2,11.2,25,258
8,AS8,17.7,10.2,14.3,20,329
8,M7,15.7,10.6,13.4,21,308
4,AS6,9.1,6.3,7.8,36,179
4,M6,9.0,6.2,7.8,36,179
4,AS6,10.5,6.8,8.8,32,202
4,M6,9.4,6.6,8.1,35,186
4,A6,9.0,6.1,7.7,37,177
4,M6,8.4,5.6,7.1,40,163
4,A6,10.5,7.3,9.1,31,209
4,A6,10.5,7.3,9.1,31,209
6,A6,14.2,9.5,12.1,23,278
4,A6,11.5,8.2,10.0,28,230
4,A6,11.5,8.2,10.0,28,230
6,A6,14.8,9.9,12.6,22,290
8,A6,21.0,14.2,18.0,16,414
8,A6,22.0,14.9,18.8,15,432
8,A6,22.0,14.9,18.8,15,432
8,A6,21.3,14.3,18.1,16,416
8,A6,22.2,15.1,19.0,15,437
8,A6,22.2,15.1,19.0,15,437
4,AS6,10.6,7.5,9.2,31,212
6,AS6,12.5,8.2,10.6,27,244
4,AS6,11.4,7.9,9.8,29,225
4,AS6,9.3,6.4,8.0,35,184
6,A6,13.4,9.9,11.9,24,274
8,A6,14.6,10.3,12.7,22,292
8,A8,16.1,11.4,14.0,20,322
6,A6,14.1,10.6,12.5,23,288
8,A6,14.9,10.7,13.0,22,299
8,A8,16.3,11.6,14.2,20,327
4,AS6,9.0,6.8,8.0,35,184
4,M6,8.5,6.2,7.5,38,173
4,AS6,9.6,6.7,8.3,34,191
4,M5,9.0,6.8,8.0,35,184
4,AS6,9.4,7.0,8.3,34,191
4,M6,8.9,6.9,8.0,35,184
4,AS6,9.0,6.8,8.0,35,184
4,M6,8.5,6.2,7.5,38,173
4,AS6,9.6,6.7,8.3,34,191
4,M5,9.0,6.8,8.0,35,184
4,AS6,9.4,7.0,8.3,34,191
4,M6,8.9,6.9,8.0,35,184
4,AV,7.7,6.1,7.0,40,161
4,M5,7.5,6.0,6.8,42,156
8,A6,14.9,10.1,12.7,22,292
8,A6,15.4,10.8,13.3,21,306
8,A6,14.9,10.1,12.7,22,292
8,A6,15.1,10.4,13.0,22,299
6,A6,14.2,9.9,12.3,23,283
6,A6,14.6,10.2,12.6,22,290
4,AS6,9.2,7.0,8.2,34,189
4,M6,9.1,6.9,8.1,35,186
4,AS6,9.7,7.6,8.7,32,200
4,A9,10.2,6.4,8.5,33,196
4,A9,10.2,6.4,8.5,33,196
6,A9,12.4,7.5,10.2,28,235
6,A9,12.4,7.5,10.2,28,235
6,A9,12.8,8.1,10.7,26,246
6,A9,12.8,8.1,10.7,26,246
6,A8,12.4,7.7,10.3,27,237
6,A8,12.4,7.7,10.3,27,237
8,A8,14.8,9.3,12.3,23,283
6,A8,12.8,8.6,10.9,26,251
6,A8,12.8,8.6,10.9,26,251
6,A6,14.1,9.5,12.0,24,276
6,A8,12.4,7.8,10.3,27,237
8,M6,15.6,10.0,13.1,22,301
8,M6,16.8,10.4,13.9,20,320
8,A8,14.8,9.3,12.3,23,283
8,A8,15.7,9.5,12.9,22,297
8,M6,16.8,10.4,13.9,20,320
8,A8,15.7,9.5,12.9,22,297
8,A8,18.0,10.7,14.7,19,338
8,M6,18.1,11.4,15.1,19,347
6,A5,13.7,8.9,11.5,25,264
6,A5,13.7,8.9,11.5,25,264
6,A8,12.4,7.7,10.3,27,237
6,A8,12.4,7.7,10.3,27,237
8,A5,15.7,9.6,12.9,22,297
8,A8,14.8,9.3,12.3,23,283
6,A8,12.8,8.6,10.9,26,251
6,A8,12.8,8.6,10.9,26,251
8,A5,16.1,10.0,13.4,21,308
8,A8,15.7,9.5,12.9,22,297
8,A8,18.0,10.7,14.7,19,338
4,M6,9.4,6.5,8.1,35,186
4,A6,9.9,7.0,8.6,33,198
4,A6,10.1,6.8,8.6,33,198
4,M6,10.5,6.7,8.8,32,202
4,A6,10.6,7.5,9.2,31,212
4,M6,10.2,7.0,8.8,32,202
4,AM6,8.4,5.9,7.3,39,168
4,M6,8.5,5.8,7.3,39,168
6,A8,13.9,9.8,12.1,23,278
8,A8,17.3,11.5,14.7,19,338
6,A6,13.7,9.4,11.8,24,271
4,A4,12.7,9.1,11.1,25,255
6,A6,14.2,9.4,12.1,23,278
6,A6,14.5,9.9,12.4,23,285
10,M6,19.4,11.3,15.8,18,363
4,A6,8.7,6.9,7.9,36,182
4,M5,7.9,6.3,7.2,39,166
4,A6,8.7,6.9,7.9,36,182
4,M5,7.6,5.9,6.8,42,156
4,A6,9.6,7.3,8.6,33,198
4,M5,8.5,6.9,7.8,36,179
4,A6,9.6,7.3,8.6,33,198
4,M5,8.5,6.9,7.8,36,179
4,A6,9.6,7.3,8.6,33,198
4,M5,8.5,6.9,7.8,36,179
4,A6,10.6,7.8,9.4,30,216
4,AM6,9.9,7.2,8.7,32,200
4,M6,9.3,7.1,8.3,34,191
4,AV,5.6,6.4,6.0,47,138
4,AS6,11.5,7.8,9.8,29,225
4,AS6,11.3,7.9,9.8,29,225
6,AS6,13.2,9.0,11.3,25,260
4,AS6,11.8,8.4,10.3,27,237
6,AS6,13.7,9.6,11.8,24,271
6,AS6,13.6,9.8,11.9,24,274
